schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,62,0,1.0,359.84259033203125
1,0.25,0.65,62,0,1.0,363.5683898925781
2,0.3,0.7,62,0,1.0,370.788818359375
3,0.35,0.75,62,0,1.0,381.7501220703125
4,0.4,0.8,62,2,0.967741935483871,394.80828857421875
5,0.45,0.85,62,11,0.8225806451612903,380.54962158203125
6,0.5,0.9,62,27,0.564516129032258,262.3403625488281
7,0.55,0.95,62,39,0.3709677419354839,142.48692321777344
8,0.6,1.0,62,62,0.0,10.660835266113281
9,0.65,1.0,62,62,0.0,12.78662109375
10,0.7,1.0,62,61,0.016129032258064502,22.77062225341797
11,0.75,1.0,62,61,0.016129032258064502,30.36945343017578
12,0.8,1.0,62,57,0.08064516129032262,61.19866943359375
