schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_interval_median,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates
0,0.2,0.6,62,0,1.0,397.61407470703125,0.9416559278986275,0.9999999999999999,0.05834407210137249,437.8385476001222,36.86812755643977,435.0155745993592,40.22447289309093,391.27159873071014,517.2840598481965,351.0471258376192,477.05958695510566,79.44551224807441,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
1,0.25,0.65,62,0,1.0,397.3124694824219,0.9416559278986275,0.9999999999999999,0.05834407210137249,439.2621250037279,30.581204914972787,440.18967919840316,41.949655521306,387.6318090738812,485.8133648973355,345.6821535525752,443.8637093760295,51.63031592984669,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
2,0.3,0.7,62,3,0.9516129032258065,388.7309265136719,0.8671196207267605,0.9834083141494193,0.08449328249904597,433.35130438099515,29.57148119675896,428.7557991114496,44.62037786732327,385.86414001937135,486.3828389034775,341.2437621520481,441.7624610361542,53.03153452248233,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
3,0.35,0.75,62,7,0.8870967741935484,392.580810546875,0.7848025794735822,0.9442213647060003,0.10229419471996615,438.23423990490676,28.018755594570816,438.8237395401959,45.65342935803176,399.73111313527374,496.6606985310172,354.077683777242,451.00726917298545,58.426458626110445,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
4,0.4,0.8,62,7,0.8870967741935484,375.72454833984375,0.7848025794735822,0.9442213647060003,0.10229419471996615,423.99792354389893,36.16997050050258,421.8578541075916,48.273375204055185,373.96361183470805,490.8541409996144,325.69023663065286,442.5807657955592,66.85621745571547,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
5,0.45,0.85,62,15,0.7580645161290323,335.72271728515625,0.638474924839726,0.8475410379466625,0.11958959128930624,386.7242556377807,41.247917709783025,388.3482116737757,51.001538352624436,305.6196236875616,447.7647831250242,254.61808533493715,396.7632447723998,81.1046319502191,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
6,0.5,0.9,62,36,0.4193548387096774,207.3465576171875,0.3047758590777194,0.5433441525515342,0.12398931384185685,256.75521748476655,40.02328041900881,245.9239164605323,49.40865986757905,195.45573382144238,327.1153341415009,146.04707395386333,277.70667427392186,70.36011665673436,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
7,0.55,0.95,62,47,0.24193548387096775,100.53384399414062,0.15245896205333753,0.3615250751602741,0.11958959128930635,140.80601178692208,24.428179066274158,139.86030469403192,40.27216779278146,104.37542702615323,183.92764937457025,64.10325923337177,143.6554815817888,43.121637587648166,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
8,0.6,1.0,62,62,0.0,7.284828186035156,0.0,0.058344072101372456,0.058344072101372456,10.10948050226885,1.2408403113328268,9.965193398746884,2.824652316233694,8.328791917010092,12.385104467837161,5.504139600776399,9.560452151603467,2.275623965568311,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
9,0.65,1.0,62,62,0.0,8.708099365234375,0.0,0.058344072101372456,0.058344072101372456,12.051169644122961,1.8840808152494617,11.49833368987629,3.343070278888586,9.43665694274735,15.324679257257502,6.093586663858764,11.981608978368916,3.273509613134541,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
10,0.7,1.0,62,61,0.016129032258064502,13.75543212890625,0.00285286716862182,0.08586720260689991,0.06973817034883541,18.795677252692375,3.196336978934522,18.716219826835346,5.040245123786125,14.078080305098695,25.19463113840649,9.03783518131257,20.154386014620364,6.398953885714114,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
11,0.75,1.0,62,61,0.016129032258064502,17.73546600341797,0.00285286716862182,0.08586720260689991,0.06973817034883541,24.6162005416983,3.9141602129325093,24.750212311617673,6.880734538280333,18.64035495793577,30.62995866567288,11.759620419655437,23.749224127392548,6.013758123974579,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
12,0.8,1.0,62,59,0.048387096774193505,26.31855010986328,0.016591685850580733,0.13288037927323956,0.08449328249904606,36.88203045090246,7.234852285653193,36.320679589402786,10.563480341039181,26.312125730940128,51.00917230007349,15.748645389900947,40.445691959034306,14.127141849171025,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
