schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,62,0,1.0,397.61407470703125
1,0.25,0.65,62,0,1.0,397.3124694824219
2,0.3,0.7,62,3,0.9516129032258065,388.7309265136719
3,0.35,0.75,62,7,0.8870967741935484,392.580810546875
4,0.4,0.8,62,7,0.8870967741935484,375.72454833984375
5,0.45,0.85,62,15,0.7580645161290323,335.72271728515625
6,0.5,0.9,62,36,0.4193548387096774,207.3465576171875
7,0.55,0.95,62,47,0.24193548387096775,100.53384399414062
8,0.6,1.0,62,62,0.0,7.284828186035156
9,0.65,1.0,62,62,0.0,8.708099365234375
10,0.7,1.0,62,61,0.016129032258064502,13.75543212890625
11,0.75,1.0,62,61,0.016129032258064502,17.73546600341797
12,0.8,1.0,62,59,0.048387096774193505,26.31855010986328
