schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_interval_median,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates
0,0.2,0.6,500,258,0.484,169.45208740234375,0.44048544323145283,0.527758535663317,0.043758535663317,215.19703500111714,12.447775710273303,214.0803121768406,45.74494759877339,190.6721977124932,235.05963828171895,144.9272501137198,189.31469068294555,24.524837288623957,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
1,0.25,0.65,500,195,0.61,193.88491821289062,0.566563975499563,0.6517586695988955,0.04343602450043693,239.15679490987202,14.375486360096204,240.0526637090509,45.271876696981394,211.9588526983054,262.75905568478856,166.686976001324,217.48717898780714,27.197942211566613,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
2,0.3,0.7,500,140,0.72,229.85760498046875,0.6790813332381924,0.7575639569587245,0.040918666761807554,275.28055484131056,15.398341221438478,274.169002802616,45.42294986084181,249.445664313854,307.70872488187234,204.02271445301218,262.28577502103053,32.42817004056178,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
3,0.35,0.75,500,78,0.844,274.7003479003906,0.8095852451662972,0.873169208596155,0.03441475483370282,319.7554459715869,13.610023390107711,318.62558583231674,45.055098071196255,297.4898040185148,347.3415188336862,252.43470594731855,302.28642076248997,27.586072862099343,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
4,0.4,0.8,500,34,0.9319999999999999,306.9906005859375,0.9064790772661258,0.9509334925750932,0.025520922733874185,350.1659516065042,12.153801866325137,350.6082645850664,43.17535102056672,330.90488366958516,368.9048683565261,287.72953264901844,325.7295173359594,19.261067936919062,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
5,0.45,0.85,500,12,0.976,331.7799987792969,0.9585229425360993,0.986218685344503,0.017477057463900714,373.58141883964856,10.917221110618021,373.05838684393234,41.80142006035169,354.8191633082833,396.3377167511057,313.0177432479316,354.536296690754,22.756297911457125,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
6,0.5,0.9,500,2,0.996,339.720947265625,0.9855342847848231,0.9989023694773173,0.010465715215176918,379.15715711625876,7.829065496408266,378.982138795471,39.43620985063376,363.437602295592,392.34928738807673,324.00139244495824,352.913077537443,15.719554820666758,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
7,0.55,0.95,500,1,0.998,339.30450439453125,0.9887592932948532,0.9996468636054407,0.009240706705146762,377.956507001112,6.81158075303696,378.8586165265638,38.652002606580766,364.1281881978368,389.83695262456894,325.476185591256,351.18495001798817,13.828318803275238,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
8,0.6,1.0,500,0,1.0,333.8481750488281,0.9923756595384479,1.0,0.007624340461552137,371.95440639435793,7.527262042530647,371.6475246302094,38.10623134552981,361.27816247493456,390.35375282581003,323.17193112940475,352.2475214802802,18.399346431452102,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
9,0.65,1.0,500,0,1.0,325.4232482910156,0.9923756595384479,1.0,0.007624340461552137,363.5668621110189,7.186857295547379,365.1915773069401,38.14361382000328,351.4420822553715,376.44187071069547,313.2984684353682,338.2982568906922,12.875008599676562,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
10,0.7,1.0,500,0,1.0,325.180908203125,0.9923756595384479,1.0,0.007624340461552137,363.5510538078108,7.87976589266408,363.072885553426,38.370145604685774,349.2346127904366,377.96319793369696,310.8644671857508,339.5930523290112,14.412144125886186,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
11,0.75,1.0,500,0,1.0,319.9971923828125,0.9923756595384479,1.0,0.007624340461552137,358.25614976606056,8.326580614608583,357.17560141308365,38.25895738324806,346.397351482522,376.65247981357277,308.13839409927397,338.3935224303247,18.39633004751221,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
12,0.8,1.0,500,0,1.0,316.67987060546875,0.9923756595384479,1.0,0.007624340461552137,354.81069715999314,8.72255906898238,354.91508806726017,38.13082655452439,341.35569174722,375.2923468831949,303.22486519269563,337.1615203286705,20.48164972320177,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
