schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,500,258,0.484,169.45208740234375
1,0.25,0.65,500,195,0.61,193.88491821289062
2,0.3,0.7,500,140,0.72,229.85760498046875
3,0.35,0.75,500,78,0.844,274.7003479003906
4,0.4,0.8,500,34,0.9319999999999999,306.9906005859375
5,0.45,0.85,500,12,0.976,331.7799987792969
6,0.5,0.9,500,2,0.996,339.720947265625
7,0.55,0.95,500,1,0.998,339.30450439453125
8,0.6,1.0,500,0,1.0,333.8481750488281
9,0.65,1.0,500,0,1.0,325.4232482910156
10,0.7,1.0,500,0,1.0,325.180908203125
11,0.75,1.0,500,0,1.0,319.9971923828125
12,0.8,1.0,500,0,1.0,316.67987060546875
13,0.0,0.4,500,117,0.766,253.86883544921875
14,0.05,0.45,500,179,0.642,216.71795654296875
15,0.1,0.5,500,231,0.538,185.1007080078125
16,0.15,0.55,500,270,0.45999999999999996,160.4208984375
