schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,62,0,1.0,388.0234680175781
1,0.25,0.65,62,0,1.0,386.9393615722656
2,0.3,0.7,62,3,0.9516129032258065,380.5106201171875
3,0.35,0.75,62,7,0.8870967741935484,383.653564453125
4,0.4,0.8,62,12,0.8064516129032258,370.41656494140625
5,0.45,0.85,62,16,0.7419354838709677,312.8970031738281
6,0.5,0.9,62,34,0.4516129032258065,211.47586059570312
7,0.55,0.95,62,48,0.22580645161290325,113.45344543457031
8,0.6,1.0,62,62,0.0,6.8504180908203125
9,0.65,1.0,62,62,0.0,8.151397705078125
10,0.7,1.0,62,62,0.0,13.002822875976562
11,0.75,1.0,62,62,0.0,16.907501220703125
12,0.8,1.0,62,61,0.016129032258064502,25.097984313964844
