schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,500,441,0.118,58.03450012207031
1,0.25,0.65,500,453,0.09399999999999997,50.19468688964844
2,0.3,0.7,500,447,0.10599999999999998,49.496604919433594
3,0.35,0.75,500,423,0.15400000000000003,52.47508239746094
4,0.4,0.8,500,371,0.258,70.76113891601562
5,0.45,0.85,500,295,0.41000000000000003,95.39181518554688
6,0.5,0.9,500,168,0.6639999999999999,146.674072265625
7,0.55,0.95,500,71,0.858,206.9124755859375
8,0.6,1.0,500,17,0.966,261.7386169433594
9,0.65,1.0,500,2,0.996,297.8698425292969
10,0.7,1.0,500,1,0.998,305.2966613769531
11,0.75,1.0,500,1,0.998,307.3973388671875
12,0.8,1.0,500,1,0.998,308.66754150390625
