schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_interval_median,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates
0,0.2,0.6,500,21,0.958,297.2606201171875,0.9366484142456699,0.9723676898915483,0.02135158575433005,339.3653671779354,11.486772304172511,339.7157701369221,42.10474706074791,317.58931870395355,358.8345339982537,275.48457164320564,316.72978693750576,21.77604847398186,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
1,0.25,0.65,500,6,0.988,309.32470703125,0.9740696388835527,0.9944890048259724,0.013930361116447298,351.74927080635234,10.651902479123645,352.46207840027716,42.42456377510234,334.61367792766384,372.53194375788564,292.1891141525615,330.1073799827833,20.7826729515333,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
2,0.3,0.7,500,0,1.0,302.53497314453125,0.9923756595384479,1.0,0.007624340461552137,340.409363123757,6.33700619619914,339.79265771546056,37.874389979225725,328.56038776517994,352.3600448696026,290.6859977859542,314.48565489037685,11.9506817458456,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
3,0.35,0.75,500,0,1.0,295.78179931640625,0.9923756595384479,1.0,0.007624340461552137,327.7123582498703,7.261759104759585,327.04970224090494,31.930558933464056,316.1213610772362,343.18906765213006,284.19080214377215,311.258508718666,15.476709402259758,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
4,0.4,0.8,500,0,1.0,290.0809020996094,0.9923756595384479,1.0,0.007624340461552137,316.3457085094034,4.787960063536503,315.9782074986431,26.264806409794005,307.4125369497975,324.354266923571,281.1477305400035,298.089460513777,8.933171559605853,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
5,0.45,0.85,500,0,1.0,289.489990234375,0.9923756595384479,1.0,0.007624340461552137,313.12437684818195,4.711054001170265,312.1829337147857,23.634386613806953,306.2062501028345,322.4207841810979,282.5718634890275,298.7863975672909,9.29640733291592,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
6,0.5,0.9,500,0,1.0,292.1365051269531,0.9923756595384479,1.0,0.007624340461552137,314.2513529227728,4.314603689505098,313.82423538211924,22.114847795819685,307.5971643674087,323.7213898702363,285.482316571589,301.6065420744166,9.470036947463484,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
7,0.55,0.95,500,0,1.0,294.95672607421875,0.9923756595384479,1.0,0.007624340461552137,316.4074544631719,5.107451413355685,316.2033604135132,21.450728388953166,306.91480632550537,326.7435575902374,285.4640779365522,305.29282920128423,10.336103127065485,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
8,0.6,1.0,500,0,1.0,297.6797790527344,0.9923756595384479,1.0,0.007624340461552137,319.1527171548759,5.980435498745073,319.83296913102026,21.47293810214154,306.9679191791391,328.3881128908123,285.49498107699753,306.91517478867075,12.184797975736842,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
9,0.65,1.0,500,0,1.0,298.15850830078125,0.9923756595384479,1.0,0.007624340461552137,319.8002401653662,4.312533102395656,319.29206987194704,21.641731864584926,312.7864282496464,328.0273647256889,291.1446963850615,306.385632861104,8.22712456032275,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
