schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,500,21,0.958,297.2606201171875
1,0.25,0.65,500,6,0.988,309.32470703125
2,0.3,0.7,500,0,1.0,302.53497314453125
3,0.35,0.75,500,0,1.0,295.78179931640625
4,0.4,0.8,500,0,1.0,290.0809020996094
5,0.45,0.85,500,0,1.0,289.489990234375
6,0.5,0.9,500,0,1.0,292.1365051269531
7,0.55,0.95,500,0,1.0,294.95672607421875
8,0.6,1.0,500,0,1.0,297.6797790527344
9,0.65,1.0,500,0,1.0,298.15850830078125
10,0.7,1.0,500,0,1.0,300.6267395019531
11,0.75,1.0,500,0,1.0,301.3484191894531
12,0.8,1.0,500,0,1.0,300.9659118652344
13,0.0,0.4,500,5,0.99,289.7299499511719
14,0.05,0.45,500,9,0.982,286.0669250488281
15,0.1,0.5,500,17,0.966,284.11865234375
16,0.15,0.55,500,28,0.944,284.3841552734375
