schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_interval_median,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates
0,0.2,0.6,62,0,1.0,360.93511962890625,0.9416559278986275,0.9999999999999999,0.05834407210137249,387.76350425363853,18.197987581684945,391.4281796244628,26.82838462473228,344.64795995985605,415.410023162811,317.8195753351238,388.5816385380787,43.11554429378248,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
1,0.25,0.65,62,0,1.0,363.0377502441406,0.9416559278986275,0.9999999999999999,0.05834407210137249,391.01755243149904,17.86223802627595,392.2013602864197,27.979802187358416,365.2000297548842,422.0229002688781,337.2202275675258,394.0430980815197,31.005347837379077,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
2,0.3,0.7,62,0,1.0,384.25018310546875,0.9416559278986275,0.9999999999999999,0.05834407210137249,415.63520893264354,17.136106976586525,413.5220795481615,31.385025827174786,384.68163873445155,444.16120490347186,353.29661290727677,412.77617907629707,30.953570198191983,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
3,0.35,0.75,62,3,0.9516129032258065,399.0657958984375,0.8671196207267605,0.9834083141494193,0.08449328249904597,436.7043454814194,33.67869845005103,431.3102577355502,37.63854958298191,385.82602503570206,504.73135426718466,348.18747545272015,467.09280468420275,68.02700878576525,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
4,0.4,0.8,62,8,0.8709677419354839,415.4188537597656,0.7655067270982637,0.9331412194071697,0.10546101483722015,457.421857384051,35.657468245332225,461.2639831671396,42.003003624285384,394.1381582201957,520.3097635380894,352.1351545959103,478.30675991380406,63.28369916385532,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
5,0.45,0.85,62,9,0.8548387096774194,387.3656005859375,0.7465660628844542,0.9217058859468299,0.10827264679296522,432.5955009904092,37.43468248457493,441.8375923516601,45.22990040447172,359.2685490699472,480.00449004717325,314.0386486654755,434.7745896427015,73.32695192046202,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
6,0.5,0.9,62,14,0.7741935483870968,306.8121337890625,0.6559437908464204,0.8604481696141172,0.11824975754067635,355.41404771074787,36.093785991139875,355.9755477978814,48.601913921685366,300.55776395364245,419.5648342063149,251.95585003195708,370.96292028462955,64.15078649556705,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
7,0.55,0.95,62,33,0.467741935483871,220.23870849609375,0.3490883297333417,0.5901596749183597,0.12241773943448875,267.084484345014,40.56454414688558,261.48655361458543,46.845775848920255,198.54502561214704,348.045398939313,151.6992497632268,301.1996230903927,80.96091459429897,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
8,0.6,1.0,62,42,0.32258064516129037,193.83544921875,0.21954490651283895,0.446319119071519,0.12373847391022863,229.10556853492034,34.74895823222339,220.38406096008669,35.27011931617034,167.9480472184181,293.8039584328472,132.67792790224777,258.53383911667686,64.69838989792686,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
9,0.65,1.0,62,19,0.6935483870967742,299.57391357421875,0.570327837946133,0.7941841341436584,0.12322054915064129,341.2871867570909,41.21650294282261,348.66256212031436,41.71327318287217,260.43199372850006,398.51337968997626,218.71872054562786,356.8001065071041,80.85519302859089,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
10,0.7,1.0,62,0,1.0,464.1497497558594,0.9416559278986275,0.9999999999999999,0.05834407210137249,502.93919428609274,29.54217978778444,504.9889802222481,38.78944453023337,452.09095334445095,552.2057671680077,413.3015088142176,513.4163226377743,50.84824094164179,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
11,0.75,1.0,62,0,1.0,464.50927734375,0.9416559278986275,0.9999999999999999,0.05834407210137249,497.80942424137135,22.41630836513104,497.9145625691723,33.300146897621346,458.85690569048995,535.432531008004,425.5567587928686,502.13238411038265,38.95251855088139,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
12,0.8,1.0,62,0,1.0,438.5280456542969,0.9416559278986275,0.9999999999999999,0.05834407210137249,467.61268243213635,17.40265675444721,466.60773646125386,29.084636777839478,438.47477489388945,497.1599976046849,409.39013811604997,468.07536082684544,29.547315172548565,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
