schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,62,0,1.0,360.93511962890625
1,0.25,0.65,62,0,1.0,363.0377502441406
2,0.3,0.7,62,0,1.0,384.25018310546875
3,0.35,0.75,62,3,0.9516129032258065,399.0657958984375
4,0.4,0.8,62,8,0.8709677419354839,415.4188537597656
5,0.45,0.85,62,9,0.8548387096774194,387.3656005859375
6,0.5,0.9,62,14,0.7741935483870968,306.8121337890625
7,0.55,0.95,62,33,0.467741935483871,220.23870849609375
8,0.6,1.0,62,42,0.32258064516129037,193.83544921875
9,0.65,1.0,62,19,0.6935483870967742,299.57391357421875
10,0.7,1.0,62,0,1.0,464.1497497558594
11,0.75,1.0,62,0,1.0,464.50927734375
12,0.8,1.0,62,0,1.0,438.5280456542969
