schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.0,0.4,50,17,0.6599999999999999,310.2589111328125
1,0.1,0.5,50,31,0.38,175.16944885253906
2,0.2,0.6,50,40,0.19999999999999996,139.8702392578125
3,0.3,0.7,50,27,0.45999999999999996,168.03009033203125
4,0.4,0.8,50,18,0.64,226.64273071289062
5,0.5,0.9,50,6,0.88,319.58282470703125
6,0.6,1.0,50,0,1.0,367.3614807128906
7,0.7,1.0,50,0,1.0,354.2794494628906
