schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates
0,0.0,0.4,50,17,0.6599999999999999,310.2589111328125,0.5215382605023261,0.7756305077749991,0.13846173949767382,362.8177342704046,32.19836217473668,52.55882313759213,316.4699850293116,433.1086296741166,263.9111618917195,380.5498065365245,70.290895403712,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
1,0.1,0.5,50,31,0.38,175.16944885253906,0.2586278931019359,0.5184955306900701,0.13849553069007015,221.93090407517187,34.10747930752381,46.761455222632804,176.76310880239686,286.38511386681887,130.00165357976405,239.62365864418607,64.454209791647,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
2,0.2,0.6,50,40,0.19999999999999996,139.8702392578125,0.11243750015776112,0.33037105932225413,0.13037105932225418,183.97385675475095,26.785961551372232,44.103617496938455,140.9682197921957,233.65513951282313,96.86460229525724,189.55152201588467,49.68128275807217,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
3,0.3,0.7,50,27,0.45999999999999996,168.03009033203125,0.3296965219222435,0.5960112860084252,0.13601128600842527,209.34529681714943,27.86397433240455,41.31520648511818,165.40260942413371,254.0854704404132,124.08740293901553,212.770263955295,44.74017362326376,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
4,0.4,0.8,50,18,0.64,226.64273071289062,0.501410168761127,0.7586125034815325,0.13858983123887303,270.0069318219086,33.91698677462507,43.36420110901798,213.71871984421185,319.26563222523134,170.35451873519386,275.90143111621336,56.28821197769676,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
5,0.5,0.9,50,6,0.88,319.58282470703125,0.7619518261679702,0.9438239984906772,0.11804817383202981,362.5348010039963,32.55351752256135,42.95197629696503,316.1904404239474,418.197297914062,273.23846412698236,375.245321617097,55.66249691006573,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
6,0.6,1.0,50,0,1.0,367.3614807128906,0.9286524008666414,1.0,0.07134759913335864,406.2660133751071,19.3162146702275,38.90453266221647,373.9692911081051,442.43568183581766,335.06475844588863,403.5311491736012,36.16966846071057,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
7,0.7,1.0,50,0,1.0,354.2794494628906,0.9286524008666414,1.0,0.07134759913335864,391.21971301929244,18.69362968319113,36.94026355640182,367.4068584753566,426.1879889838244,330.4665949189548,389.2477254274226,34.96827596453198,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
