schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_interval_median,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates
0,0.2,0.6,500,64,0.872,261.7704162597656,0.8398543146918417,0.8984731760047634,0.03214568530815831,309.6971777581278,13.62218251195477,308.51728182475676,47.92676149836217,288.41330616893066,335.45669310816373,240.48654467056852,287.52993160980157,25.75951535003594,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
1,0.25,0.65,500,26,0.948,293.2253723144531,0.9248988560621544,0.9642697348842947,0.02310114393784557,338.5580175902272,13.196462196458386,339.1734972040541,45.3326452757741,312.6331369515321,360.7289067534068,267.300491675758,315.3962614776327,25.92488063869513,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
2,0.3,0.7,500,7,0.986,314.4830627441406,0.9713869308622147,0.9932022102091564,0.014613069137785262,355.43555600220594,9.75681526684699,356.42513433474863,40.95249325806532,340.94954824216927,373.00608777024564,299.99705498410395,332.0535945121803,17.5705317680397,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
3,0.35,0.75,500,3,0.994,324.62548828125,0.9825097478959467,0.9979574037280398,0.0114902521040533,361.5278842720486,6.563769468446375,362.67919867446915,36.902395990798595,347.07282863276646,370.86701164903656,310.17043264196786,333.96461565823796,14.455055639282136,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
4,0.4,0.8,500,0,1.0,328.32940673828125,0.9923756595384479,1.0,0.007624340461552137,362.7478193787792,7.80546958184961,361.7053695105485,34.418412640497934,349.91979880918177,378.30384641620526,315.50138616868384,343.8854337757073,15.556027037426077,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
5,0.45,0.85,500,0,1.0,333.85125732421875,0.9923756595384479,1.0,0.007624340461552137,367.06574747885884,5.65980227749887,367.2667618175162,33.21449015464009,356.68538702833735,377.24166959739364,323.47089687369726,344.02717944275355,10.380360450521493,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
6,0.5,0.9,500,0,1.0,335.97344970703125,0.9923756595384479,1.0,0.007624340461552137,368.5343764765428,6.592159174009487,368.1527181536597,32.560926769511525,356.2112780295898,382.7672742561147,323.65035126007825,350.2063474866032,14.232897779571942,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
7,0.55,0.95,500,0,1.0,334.8872985839844,0.9923756595384479,1.0,0.007624340461552137,367.86025093329823,6.606739500891518,368.5231118263508,32.97295234931386,354.52726594896995,379.0374487610762,321.5543135996561,346.0644964117623,13.332984984328277,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
8,0.6,1.0,500,0,1.0,333.820556640625,0.9923756595384479,1.0,0.007624340461552137,366.7187662261958,7.720960762986529,366.39973561548777,32.89820958557078,351.541783678014,381.12434412381464,318.6435740924432,348.22613453824385,15.176982548181797,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
9,0.65,1.0,500,0,1.0,333.1808776855469,0.9923756595384479,1.0,0.007624340461552137,366.45608040972945,8.072015658794047,367.123583169345,33.27520272418258,350.2828492702189,380.57820050623366,317.0076465460363,347.3029977820511,16.173231139510563,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
10,0.7,1.0,500,0,1.0,327.7769775390625,0.9923756595384479,1.0,0.007624340461552137,361.3335181227579,6.6503950717208165,361.6000003577867,33.55654058369538,350.77125815249605,372.1553005292688,317.21471756880067,338.5987599455734,10.82178240651092,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
11,0.75,1.0,500,0,1.0,322.55853271484375,0.9923756595384479,1.0,0.007624340461552137,356.1943454939351,8.393415534150902,357.54825329113544,33.63581277909134,340.64491374548675,372.78422185013625,307.0091009663954,339.1484090710449,16.58987635620116,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
12,0.8,1.0,500,0,1.0,320.63330078125,0.9923756595384479,1.0,0.007624340461552137,354.8858793249246,5.929747270701458,354.6274115466075,34.25257854367459,344.59326066599994,366.9895705739816,310.34068212232535,332.736992030307,12.103691249057022,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
