schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_interval_median,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates
0,0.2,0.6,62,0,1.0,365.49407958984375,0.9416559278986275,0.9999999999999999,0.05834407210137249,402.00959078754715,21.300911526039002,404.47026239895297,36.515511197703404,366.67303046322763,439.99842288046347,330.15751926552423,403.48291168276006,37.98883209291631,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
1,0.25,0.65,62,0,1.0,367.1164245605469,0.9416559278986275,0.9999999999999999,0.05834407210137249,404.49683064014187,17.493107601514527,403.32295471247414,37.38040607959499,379.3407378392753,438.21261856923945,341.9603317596803,400.83221248964446,33.71578792909759,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
2,0.3,0.7,62,3,0.9516129032258065,370.14312744140625,0.8671196207267605,0.9834083141494193,0.08449328249904597,408.74605966534506,24.233208596423026,406.7463419961395,38.60293222393881,371.00441362218635,447.4115364332367,332.40148139824754,408.80860420929787,38.66547676789162,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
3,0.35,0.75,62,5,0.9193548387096774,377.12908935546875,0.8247142865138739,0.9650616530140073,0.09464055219580347,419.1463224431092,27.32558329787613,414.06813948551917,42.01723308764048,372.83841350916043,467.3370026990195,330.82118042151995,425.319769611379,48.19068025591025,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
4,0.4,0.8,62,8,0.8709677419354839,400.79522705078125,0.7655067270982637,0.9331412194071697,0.10546101483722015,448.94233170652734,36.55327383618954,453.3002169179963,48.14710465574609,384.55765222710494,522.8704322506712,336.41054757135885,474.7233275949251,73.92810054414383,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
5,0.45,0.85,62,12,0.8064516129032258,363.1023864746094,0.6914820382117386,0.8856619175970974,0.11496957469148716,412.8524014169068,28.305990183389813,413.9464027038693,49.75001494229741,367.4373404289491,463.3194328996667,317.6873254866517,413.5694179573693,50.46703148275992,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
6,0.5,0.9,62,25,0.5967741935483871,256.61920166015625,0.47250467700400245,0.7097513090408933,0.12426951654438467,310.6352717650081,27.989770423084295,309.67111016084135,54.01607010485185,266.89704399296295,359.87541202542894,212.8809738881111,305.8593419205771,49.240140260420844,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
7,0.55,0.95,62,47,0.24193548387096775,125.55146789550781,0.15245896205333753,0.3615250751602741,0.11958959128930635,165.77496152923632,29.299249660948774,163.42778016864173,40.22349363372851,120.46214502404577,215.9870203952875,80.23865139031726,175.76352676155898,50.212058866051166,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
8,0.6,1.0,62,62,0.0,8.580917358398438,0.0,0.058344072101372456,0.058344072101372456,11.917504316198448,1.6243577346607598,11.66298107017522,3.3365869578000105,9.409536229265466,14.811557034213013,6.072949271465456,11.474970076413003,2.8940527180145654,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
9,0.65,1.0,62,62,0.0,10.204559326171875,0.0,0.058344072101372456,0.058344072101372456,14.119148247351076,2.3877642571843127,13.802080479936716,3.9145889211792007,10.80709750178366,19.023171321403897,6.89250858060446,15.108582400224696,4.904023074052821,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
10,0.7,1.0,62,61,0.016129032258064502,17.22833251953125,0.00285286716862182,0.08586720260689991,0.06973817034883541,23.596052760723108,5.564567058383901,22.02659602955098,6.367720241191858,16.265655992851972,33.83404132370404,9.897935751660114,27.466321082512188,10.237988562980938,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
11,0.75,1.0,62,61,0.016129032258064502,23.387855529785156,0.00285286716862182,0.08586720260689991,0.06973817034883541,32.251178489142355,7.998288992395842,31.906069040300313,8.863322959357198,20.77090610665404,48.170825025130114,11.90758314729684,39.307502065772916,15.91964653598776,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
12,0.8,1.0,62,60,0.032258064516129004,35.23040008544922,0.008891371499816628,0.11020469594985437,0.07794663143372536,49.31599600450217,12.139593809714412,47.31928162028925,14.085595919052949,30.923986476033914,74.04096826435983,16.838390556980965,59.955372345306884,24.724972259857665,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
