schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,62,0,1.0,365.49407958984375
1,0.25,0.65,62,0,1.0,367.1164245605469
2,0.3,0.7,62,3,0.9516129032258065,370.14312744140625
3,0.35,0.75,62,5,0.9193548387096774,377.12908935546875
4,0.4,0.8,62,8,0.8709677419354839,400.79522705078125
5,0.45,0.85,62,12,0.8064516129032258,363.1023864746094
6,0.5,0.9,62,25,0.5967741935483871,256.61920166015625
7,0.55,0.95,62,47,0.24193548387096775,125.55146789550781
8,0.6,1.0,62,62,0.0,8.580917358398438
9,0.65,1.0,62,62,0.0,10.204559326171875
10,0.7,1.0,62,61,0.016129032258064502,17.22833251953125
11,0.75,1.0,62,61,0.016129032258064502,23.387855529785156
12,0.8,1.0,62,60,0.032258064516129004,35.23040008544922
