schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,500,466,0.06799999999999995,50.15107727050781
1,0.25,0.65,500,459,0.08199999999999996,39.94969177246094
2,0.3,0.7,500,459,0.08199999999999996,39.092018127441406
3,0.35,0.75,500,451,0.09799999999999998,40.387603759765625
4,0.4,0.8,500,408,0.18400000000000005,54.296592712402344
5,0.45,0.85,500,351,0.29800000000000004,72.49705505371094
6,0.5,0.9,500,231,0.538,117.113037109375
7,0.55,0.95,500,122,0.756,168.03773498535156
8,0.6,1.0,500,36,0.928,229.02899169921875
9,0.65,1.0,500,7,0.986,276.252685546875
10,0.7,1.0,500,3,0.994,294.556640625
11,0.75,1.0,500,0,1.0,300.62841796875
12,0.8,1.0,500,2,0.996,301.869384765625
