schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates
0,0.0,0.4,50,0,1.0,360.48406982421875,0.9286524008666414,1.0,0.07134759913335864,390.3613907171871,19.018294143330106,29.877320892968328,356.933805254993,424.5540158034562,327.05648436202466,394.67669491048787,34.19262508626912,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
1,0.1,0.5,50,0,1.0,360.1466979980469,0.9286524008666414,1.0,0.07134759913335864,390.0223629795728,18.865670941486943,29.875664981525915,355.58283024747334,421.2681440035113,325.7071652659474,391.39247902198537,34.43953273209945,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
2,0.2,0.6,50,0,1.0,360.05450439453125,0.9286524008666414,1.0,0.07134759913335864,390.8242008875077,20.221371952680137,30.769696492976436,347.4942337683933,425.2266146938608,316.7245372754169,394.4569182008844,43.32996711911437,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
3,0.3,0.7,50,0,1.0,379.947021484375,0.9286524008666414,1.0,0.07134759913335864,412.58393105946953,23.552860571640664,32.636909575094535,370.5086373238903,450.209289493797,337.87172774879576,417.57237991870244,42.07529373557924,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
4,0.4,0.8,50,2,0.96,409.0973205566406,0.8653990931249298,0.9889611156723801,0.09460090687507017,451.7154889402983,37.27459872923593,42.61816838365769,401.37312346685735,532.5024782205505,358.75495508319966,489.88430983689284,80.78698928025221,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
5,0.5,0.9,50,24,0.52,270.1539306640625,0.3851174489004462,0.6520286471342195,0.13488255109955383,315.72640089397623,31.784346595775474,45.57247022991373,263.085398533037,361.81519490157746,217.51292830312326,316.2427246716637,52.64100236093924,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
6,0.6,1.0,50,50,0.0,14.638099670410156,0.0,0.07134759913335868,0.07134759913335868,19.371302598008363,3.451433661191973,4.733202927598207,15.03907414052058,26.153255442110677,10.305871212922373,21.42005251451247,6.781952844102314,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
7,0.7,1.0,50,49,0.020000000000000018,31.991561889648438,0.0035392592716462293,0.1049544358963781,0.08495443589637808,41.394558168659685,15.482662594762619,9.402996279011248,23.35761162564419,72.40393016283797,13.954615346632941,63.00093388382672,31.00937199417828,50,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,25
