schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.0,0.4,50,0,1.0,360.48406982421875
1,0.1,0.5,50,0,1.0,360.1466979980469
2,0.2,0.6,50,0,1.0,360.05450439453125
3,0.3,0.7,50,0,1.0,379.947021484375
4,0.4,0.8,50,2,0.96,409.0973205566406
5,0.5,0.9,50,24,0.52,270.1539306640625
6,0.6,1.0,50,50,0.0,14.638099670410156
7,0.7,1.0,50,49,0.020000000000000018,31.991561889648438
