schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_interval_median,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates
0,0.2,0.6,500,23,0.954,284.28778076171875,0.9319222072317267,0.9691548916291838,0.022077792768273263,330.16316771512385,10.24280456413951,330.36789920736743,45.8753869534051,309.2289267796275,349.7629677656537,263.3535398262224,303.8875808122486,20.934240935496348,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
1,0.25,0.65,500,1,0.998,300.31951904296875,0.9887592932948532,0.9996468636054407,0.009240706705146762,343.7751550102132,8.609695989624614,344.6923555769066,43.45563596724446,329.56391697500317,360.2289670601694,286.1082810077587,316.77333109292493,16.453812049956184,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
2,0.3,0.7,500,0,1.0,304.9332275390625,0.9923756595384479,1.0,0.007624340461552137,343.27729933986245,7.61838792533978,343.64022720933565,38.34407180079995,329.7747489754695,356.0301897099642,291.43067717466954,317.68611790916424,13.50255036439296,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
3,0.35,0.75,500,0,1.0,311.3669738769531,0.9923756595384479,1.0,0.007624340461552137,344.14662011228853,8.275612253752445,344.36204675004825,32.779646235335406,329.3113262081383,357.7047309754397,296.5316799728029,324.9250847401043,14.835293904150205,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
4,0.4,0.8,500,0,1.0,311.688720703125,0.9923756595384479,1.0,0.007624340461552137,340.9761711348456,5.15143963308551,341.0384764447674,29.287450431720572,330.8189566194748,349.40564609644935,301.53150618775425,320.1181956647288,10.157214515370754,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
5,0.45,0.85,500,0,1.0,314.2154235839844,0.9923756595384479,1.0,0.007624340461552137,341.8436545585066,6.07033034591068,340.7898967602527,27.62823097452224,331.36486889753166,353.09838437091486,303.7366379230094,325.4701533963926,11.254729812408243,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
6,0.5,0.9,500,0,1.0,317.693603515625,0.9923756595384479,1.0,0.007624340461552137,344.448600085574,6.020686794131148,342.8236046221629,26.754996569949014,335.66867091292346,356.3639828732526,308.91367434297445,329.6089863033036,11.915382787678595,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
7,0.55,0.95,500,0,1.0,319.1764221191406,0.9923756595384479,1.0,0.007624340461552137,345.76244370579343,6.177400042095875,345.1814913832176,26.586021586652805,333.6151694956559,357.22553558485504,307.0291479090031,330.63951399820223,12.147274210137539,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
8,0.6,1.0,500,0,1.0,322.4356384277344,0.9923756595384479,1.0,0.007624340461552137,349.39585807706635,5.810395085672618,348.22604151638365,26.960219649331975,340.6921571426714,360.80855348150624,313.73193749333944,333.84833383217426,11.412695404439887,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
9,0.65,1.0,500,0,1.0,321.3363037109375,0.9923756595384479,1.0,0.007624340461552137,348.54915881077216,5.995637114050309,349.44196077391473,27.212855099834655,338.23449541623296,358.6427337292283,311.0216403163983,331.42987862939367,10.314663394539195,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
10,0.7,1.0,500,0,1.0,320.2808837890625,0.9923756595384479,1.0,0.007624340461552137,347.76077997954167,4.885454506529726,347.2363587798028,27.479896190479167,339.957449377345,355.86464772595536,312.4775531868658,328.3847515354762,8.103867746413698,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
11,0.75,1.0,500,0,1.0,317.05426025390625,0.9923756595384479,1.0,0.007624340461552137,345.1081332083424,6.031046925421228,345.4331732073179,28.053872954436144,335.7748829780057,357.3545236161927,307.72101002356953,329.30065066175655,12.2463904078503,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
12,0.8,1.0,500,0,1.0,314.7853088378906,0.9923756595384479,1.0,0.007624340461552137,343.3056099868169,5.289065706708614,344.0496854103865,28.52030114892625,332.903840496406,352.76694151818634,304.38353934747977,324.2466403692601,10.401769490410857,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
