schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,500,23,0.954,284.28778076171875
1,0.25,0.65,500,1,0.998,300.31951904296875
2,0.3,0.7,500,0,1.0,304.9332275390625
3,0.35,0.75,500,0,1.0,311.3669738769531
4,0.4,0.8,500,0,1.0,311.688720703125
5,0.45,0.85,500,0,1.0,314.2154235839844
6,0.5,0.9,500,0,1.0,317.693603515625
7,0.55,0.95,500,0,1.0,319.1764221191406
8,0.6,1.0,500,0,1.0,322.4356384277344
9,0.65,1.0,500,0,1.0,321.3363037109375
10,0.7,1.0,500,0,1.0,320.2808837890625
11,0.75,1.0,500,0,1.0,317.05426025390625
12,0.8,1.0,500,0,1.0,314.7853088378906
13,0.0,0.4,500,31,0.938,287.16204833984375
14,0.05,0.45,500,42,0.916,278.35247802734375
15,0.1,0.5,500,55,0.89,273.7432861328125
16,0.15,0.55,500,45,0.91,273.1954040527344
