schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,62,0,1.0,367.24859619140625
1,0.25,0.65,62,2,0.967741935483871,369.8164367675781
2,0.3,0.7,62,4,0.935483870967742,367.2139587402344
3,0.35,0.75,62,5,0.9193548387096774,378.6787414550781
4,0.4,0.8,62,6,0.9032258064516129,386.4219970703125
5,0.45,0.85,62,14,0.7741935483870968,332.2806396484375
6,0.5,0.9,62,32,0.4838709677419355,228.2726287841797
7,0.55,0.95,62,49,0.20967741935483875,104.35479736328125
8,0.6,1.0,62,62,0.0,7.7724151611328125
9,0.65,1.0,62,62,0.0,9.300064086914062
10,0.7,1.0,62,62,0.0,14.873023986816406
11,0.75,1.0,62,62,0.0,19.408645629882812
12,0.8,1.0,62,59,0.048387096774193505,30.297340393066406
