schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,62,1,0.9838709677419355,379.1423034667969
1,0.25,0.65,62,2,0.967741935483871,375.52142333984375
2,0.3,0.7,62,3,0.9516129032258065,368.3945617675781
3,0.35,0.75,62,7,0.8870967741935484,374.8985290527344
4,0.4,0.8,62,10,0.8387096774193549,372.3961181640625
5,0.45,0.85,62,16,0.7419354838709677,338.7921142578125
6,0.5,0.9,62,34,0.4516129032258065,211.09466552734375
7,0.55,0.95,62,48,0.22580645161290325,117.74320983886719
8,0.6,1.0,62,62,0.0,7.026214599609375
9,0.65,1.0,62,62,0.0,8.378395080566406
10,0.7,1.0,62,62,0.0,13.204849243164062
11,0.75,1.0,62,62,0.0,17.12274932861328
12,0.8,1.0,62,61,0.016129032258064502,25.604873657226562
