schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_interval_median,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates
0,0.2,0.6,62,1,0.9838709677419355,379.1423034667969,0.9141327973931002,0.9971471328313781,0.06973817034883534,421.21133849139136,32.744185881059465,424.64671653896244,42.069035024594484,363.8897770330101,488.33463303482444,321.8207420084156,446.26559801022995,67.12329454343308,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
1,0.25,0.65,62,2,0.967741935483871,375.52142333984375,0.8897953040501456,0.9911086285001833,0.07794663143372538,417.6162510949885,26.25917630818122,415.7116345234445,42.09482775514476,379.5836043244742,472.9166975411065,337.48877656932945,430.8218697859617,55.300446446117974,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
2,0.3,0.7,62,3,0.9516129032258065,368.3945617675781,0.8671196207267605,0.9834083141494193,0.08449328249904597,411.5323375466987,24.028869029212334,412.9771521948254,43.1377757791206,375.0412355070835,459.3919556287247,331.9034597279629,416.2541798496041,47.859618082025975,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
3,0.35,0.75,62,7,0.8870967741935484,374.8985290527344,0.7848025794735822,0.9442213647060003,0.10229419471996615,422.105340800678,24.76753950001978,423.82884413185377,47.20681174794362,374.2395476990051,462.06656111093855,327.03273595106145,414.85974936299493,47.86579310167292,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
4,0.4,0.8,62,10,0.8387096774193549,372.3961181640625,0.7279366398602256,0.9099593112969091,0.11077303755912926,423.22540996147706,32.38830429653909,421.88247957300155,50.829291797414555,364.1897743619183,478.8506028938947,313.36048256450374,428.02131109648013,59.03563559955876,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
5,0.45,0.85,62,16,0.7419354838709677,338.7921142578125,0.6211887265285199,0.8344512385837193,0.12074675734244789,388.334159728351,45.131028911685725,387.3248255326337,49.54204547053848,299.60031910980035,466.5144494402708,250.0582736392619,416.97240396973234,88.7338406185506,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
6,0.5,0.9,62,34,0.4516129032258065,211.09466552734375,0.3341971316759953,0.5746748753015568,0.12306197207575031,258.56569912164207,43.14603756574514,261.84289565489235,47.47103359429832,194.5436628196702,337.3509614390544,147.07262922537188,289.8799278447561,78.78526231741233,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
7,0.55,0.95,62,48,0.22580645161290325,117.74320983886719,0.1395518303858828,0.3440562091535795,0.11824975754067624,160.33104765107197,37.79815402779801,160.02671395762061,42.58783781220478,95.12144292355781,222.4333945023351,52.533605111353026,179.8455566901303,65.20960472751416,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
8,0.6,1.0,62,62,0.0,7.026214599609375,0.0,0.058344072101372456,0.058344072101372456,9.777348505574402,1.2286551799433623,9.716182755601466,2.751133905965027,7.998366087345055,12.085008682112003,5.247232181380028,9.333874776146976,2.307660176537601,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
9,0.65,1.0,62,62,0.0,8.378395080566406,0.0,0.058344072101372456,0.058344072101372456,11.621715601333205,1.8654263453719935,11.083364333813261,3.243320520766799,8.968273684367407,15.243936816737486,5.724953163600607,12.000616295970687,3.6222212154042808,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
10,0.7,1.0,62,62,0.0,13.204849243164062,0.0,0.058344072101372456,0.058344072101372456,18.13421087553053,3.2097595353881947,17.739905293483798,4.929361632366469,13.36138237454651,25.027275334673057,8.432020742180041,20.097913702306588,6.893064459142526,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
11,0.75,1.0,62,62,0.0,17.12274932861328,0.0,0.058344072101372456,0.058344072101372456,23.903171908921426,3.7808318952336886,23.846961241643463,6.780422580308144,18.618208931363444,29.71027773576565,11.837786351055302,22.929855155457506,5.807105826844225,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
12,0.8,1.0,62,61,0.016129032258064502,25.604873657226562,0.00285286716862182,0.08586720260689991,0.06973817034883541,36.218503925809124,6.660280125535516,35.74380951296723,10.613630268582561,26.329582706797098,48.367295691904154,15.715952438214535,37.75366542332159,12.14879176609503,62,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,30
