schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_interval_median,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates
0,0.2,0.6,500,425,0.15000000000000002,69.35424041748047,0.1213759576913882,0.18396108063169836,0.03396108063169834,107.53119627280404,9.743318789207738,108.04146787025675,38.17695585532357,90.85807331118627,125.22082821060418,52.68111745586271,87.04387235528061,17.689631937800144,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
1,0.25,0.65,500,437,0.126,62.750213623046875,0.09973528894537706,0.15796771771986404,0.031967717719864036,99.23190255336624,10.844791382780542,98.75019508242323,36.481688930319365,81.69709021720337,121.17214854250766,45.215401286884,84.69045961218829,21.940245989141417,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
2,0.3,0.7,500,426,0.14800000000000002,64.91059112548828,0.11956140538920541,0.18180613029572734,0.03380613029572732,100.8623370251656,9.756969268373515,99.34251838215009,35.95174589967732,83.59158693648581,118.2214380564663,47.63984103680849,82.26969215678898,17.359101031300696,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
3,0.35,0.75,500,379,0.242,77.01223754882812,0.20651780855112864,0.2814163511270323,0.03941635112703229,113.10308011127474,11.300305589899514,112.70326963513568,36.09084256244661,94.68609466779266,136.7000193544457,58.595252105346056,100.60917679199906,23.596939243170937,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
4,0.4,0.8,500,295,0.41000000000000003,102.3878402709961,0.3677350694076764,0.453637311875403,0.043637311875402984,140.38617589884635,12.672522423292843,140.69876799442352,37.99833562785025,113.21905002602558,162.40699183736274,75.22071439817533,124.40865620951249,27.167125872820762,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
5,0.45,0.85,500,211,0.5780000000000001,149.3950653076172,0.534276977868969,0.6205336250190289,0.043723022131031075,191.18373668917712,15.013959480833853,191.7836438282497,41.788671381559936,165.69309820971205,221.8723165517337,123.90442682815213,180.08364517017375,30.688579862556566,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
6,0.5,0.9,500,101,0.798,215.48593139648438,0.7605971137604937,0.8308587793244213,0.03740288623950638,260.86961275068506,17.53781259444815,258.6065474597124,45.38368135420069,229.8737737519748,297.81961133790173,184.4900923977741,252.43592998370104,36.94999858721667,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
7,0.55,0.95,500,33,0.9339999999999999,266.032958984375,0.9087605988391466,0.9526214736402262,0.025239401160853325,313.34618856371293,13.233822743196155,313.7212343382119,47.31322957933793,289.7338156431909,332.1667069866604,242.42058606385297,284.8534774073225,23.612372920522034,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
8,0.6,1.0,500,7,0.986,295.91046142578125,0.9713869308622147,0.9932022102091564,0.014613069137785262,342.98778429118045,11.108199713885726,344.10430933953216,47.077322865399196,319.9275809405855,360.989116230685,272.8502580751863,313.9117933652858,23.060203350594975,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
9,0.65,1.0,500,2,0.996,315.15692138671875,0.9855342847848231,0.9989023694773173,0.010465715215176918,360.37602884248975,11.928916994951175,361.34990215489375,45.219107455770995,334.44446795976296,377.6347534742601,289.22536050399196,332.4156460184891,25.931560882726785,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
10,0.7,1.0,500,0,1.0,313.46160888671875,0.9923756595384479,1.0,0.007624340461552137,357.4478183702341,9.667713629566107,355.07079387719403,43.986209483515324,343.16108005208247,377.39512041776624,299.17487056856714,333.4089109342509,19.947302047532162,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
11,0.75,1.0,500,0,1.0,313.3128662109375,0.9923756595384479,1.0,0.007624340461552137,356.8962215920796,11.924106272758053,358.598270574951,43.5833553811421,330.582159324948,379.05874569380677,286.9988039438059,335.4753903126647,26.31406226713159,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
12,0.8,1.0,500,0,1.0,308.43341064453125,0.9923756595384479,1.0,0.007624340461552137,351.7525737803589,9.658709477651461,351.5722881679901,43.31916313582764,333.9949728013005,368.2244786145714,290.67580966547285,324.9053154787438,17.757600979058395,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
