schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,500,425,0.15000000000000002,69.35424041748047
1,0.25,0.65,500,437,0.126,62.750213623046875
2,0.3,0.7,500,426,0.14800000000000002,64.91059112548828
3,0.35,0.75,500,379,0.242,77.01223754882812
4,0.4,0.8,500,295,0.41000000000000003,102.3878402709961
5,0.45,0.85,500,211,0.5780000000000001,149.3950653076172
6,0.5,0.9,500,101,0.798,215.48593139648438
7,0.55,0.95,500,33,0.9339999999999999,266.032958984375
8,0.6,1.0,500,7,0.986,295.91046142578125
9,0.65,1.0,500,2,0.996,315.15692138671875
10,0.7,1.0,500,0,1.0,313.46160888671875
11,0.75,1.0,500,0,1.0,313.3128662109375
12,0.8,1.0,500,0,1.0,308.43341064453125
13,0.0,0.4,500,280,0.43999999999999995,182.7664337158203
14,0.05,0.45,500,335,0.32999999999999996,138.85430908203125
15,0.1,0.5,500,386,0.22799999999999998,107.1087875366211
16,0.15,0.55,500,410,0.18000000000000005,86.58524322509766
