schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned
0,0.2,0.6,500,386,0.22799999999999998,100.905029296875
1,0.25,0.65,500,376,0.248,98.73219299316406
2,0.3,0.7,500,326,0.348,115.46488952636719
3,0.35,0.75,500,258,0.484,146.6663818359375
4,0.4,0.8,500,166,0.6679999999999999,198.41796875
5,0.45,0.85,500,82,0.836,250.67169189453125
6,0.5,0.9,500,31,0.938,293.30511474609375
7,0.55,0.95,500,4,0.992,318.4477233886719
8,0.6,1.0,500,0,1.0,325.640380859375
9,0.65,1.0,500,0,1.0,316.882568359375
10,0.7,1.0,500,0,1.0,312.4197998046875
11,0.75,1.0,500,0,1.0,310.3189697265625
12,0.8,1.0,500,0,1.0,313.02154541015625
13,0.0,0.4,500,208,0.5840000000000001,219.7883758544922
14,0.05,0.45,500,266,0.46799999999999997,178.4458770751953
15,0.1,0.5,500,336,0.32799999999999996,133.40948486328125
16,0.15,0.55,500,370,0.26,113.49667358398438
