schedule_index,interval_start,interval_end,num_samples,correct_count,error_rate,fid_to_global_conditioned,error_ci_low,error_ci_high,error_ci_half_width,fid_bootstrap_mean,fid_bootstrap_std,fid_interval_median,fid_bias_estimate,fid_raw_ci_low,fid_raw_ci_high,fid_ci_low,fid_ci_high,fid_ci_half_width,feature_count,fid_interval_method,fid_interval_raw_method,fid_num_estimates
0,0.2,0.6,500,386,0.22799999999999998,100.905029296875,0.19338176911500068,0.2667658720960837,0.03876587209608373,142.30165232784347,12.568395566313432,142.20331025222933,41.39662303096847,122.3075824405715,164.76608601913298,80.91095940960302,123.36946298816451,22.464433691289514,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
1,0.25,0.65,500,376,0.248,98.73219299316406,0.21216420834594762,0.2876784592466748,0.03967845924667479,138.55018367590984,12.906771622530522,138.93421921992638,39.81799068274577,112.40345255605897,161.93645283461507,72.58546187331319,122.11846215186928,26.14673111985087,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
2,0.3,0.7,500,326,0.348,115.46488952636719,0.30755030205694756,0.39076749744336436,0.04276749744336439,155.9131333791098,14.66853508068449,156.30596934738298,40.44824385274262,128.3351722799724,179.18789836799783,87.88692842722978,138.7396545152552,27.57796109913741,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
3,0.35,0.75,500,258,0.484,146.6663818359375,0.44048544323145283,0.527758535663317,0.043758535663317,188.9193622703984,15.401415603306999,189.02295381915206,42.25298043446091,161.08796713061835,221.62805944127516,118.83498669615744,179.37507900681425,32.708697170876746,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
4,0.4,0.8,500,166,0.6679999999999999,198.41796875,0.6255786634624316,0.7078595581424869,0.0424213365375683,242.5219988099696,17.941078096030655,242.6604819570304,44.1040300599696,213.0373443795668,273.16638328334255,168.9333143195972,229.06235322337295,30.644384473372952,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
5,0.45,0.85,500,82,0.836,250.67169189453125,0.8010053635257086,0.8658710796841282,0.03499463647429135,296.51860637739077,13.118932284504552,298.45585709849,45.84691448285952,277.4038002160417,322.8786690465911,231.55688573318218,277.03175456373157,26.360062669200317,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
6,0.5,0.9,500,31,0.938,293.30511474609375,0.9133402868983618,0.9559807908573184,0.02465971310163817,339.2688627938758,13.426849334324706,338.6818837469668,45.963748047782076,309.42588995908955,362.5847254717001,263.46214191130747,316.620977423918,29.84297283478628,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
7,0.55,0.95,500,4,0.992,318.4477233886719,0.9796129641658948,0.9968846848199377,0.012387035834105165,363.05317710049343,8.610900484752152,364.63642933255426,44.60545371182155,347.90217075644847,375.71127522749566,303.2967170446269,331.1058215156741,15.151006344044958,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
8,0.6,1.0,500,0,1.0,325.640380859375,0.9923756595384479,1.0,0.007624340461552137,367.9764058910352,10.05762587823962,369.9667884184547,42.3360250316602,350.5772501456832,385.3014073278086,308.241225114023,342.9653822961484,17.399155745352004,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
9,0.65,1.0,500,0,1.0,316.882568359375,0.9923756595384479,1.0,0.007624340461552137,358.23178131482,7.824045858249333,358.8794335664734,41.34921295544501,343.5260539308865,370.1043119319227,302.1768409754415,328.7550989764777,14.705727383933493,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
10,0.7,1.0,500,0,1.0,312.4197998046875,0.9923756595384479,1.0,0.007624340461552137,353.1611277207559,9.396006619473614,351.2124491133482,40.74132791606843,339.08632068402284,372.25294454877957,298.3449927679544,331.51161663271114,19.09181682802364,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
11,0.75,1.0,500,0,1.0,310.3189697265625,0.9923756595384479,1.0,0.007624340461552137,350.98439644003633,8.363483882822202,350.30645249316433,40.665426713473835,334.3593798559358,366.57784461382255,293.69395314246196,325.9124179003487,16.625016584100536,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
12,0.8,1.0,500,0,1.0,313.02154541015625,0.9923756595384479,1.0,0.007624340461552137,353.7092764741774,8.068525565866434,352.9516404443674,40.687731064021136,339.68463739171665,366.7000824568134,298.9969063276955,326.01235139279225,14.024639082460737,500,paired_permutation_folds_recentered_to_full_fid,paired_permutation_folds,50
